date,flag,geartype,effort
2012-01-04,KOR,drifting_longlines,1939.9905
2012-01-04,KOR,set_longlines,96.9173
2012-01-04,PRT,drifting_longlines,21.2523
2012-01-04,RUS,set_longlines,23.0439
2012-01-04,SYC,drifting_longlines,23.8472
2012-01-04,TWN,drifting_longlines,71.4988
2012-01-04,UKR,set_longlines,23.6583
2012-01-04,VUT,drifting_longlines,23.6738
2012-01-05,ARG,set_longlines,46.0985
2012-01-05,CHL,set_longlines,189.6835
2012-01-05,ESP,drifting_longlines,206.8906
2012-01-05,FRA,drifting_longlines,113.5766
2012-01-05,FRA,set_longlines,143.3985
2012-01-05,GBR,set_longlines,22.983
2012-01-05,JPN,drifting_longlines,1024.7082
2012-01-05,KHM,drifting_longlines,23.7767
2012-01-05,KIR,drifting_longlines,23.7896
2012-01-05,KOR,drifting_longlines,1915.1143
2012-01-05,KOR,set_longlines,97.892
2012-01-05,NCL,drifting_longlines,22.0683
2012-01-05,PRT,drifting_longlines,31.1384
2012-01-05,RUS,set_longlines,23.75
2012-01-05,SYC,drifting_longlines,25.5597
2012-01-05,TWN,drifting_longlines,76.5989
2012-01-05,UKR,set_longlines,25.7194
2012-01-05,VUT,drifting_longlines,23.8697
2012-01-06,ARG,set_longlines,46.0628
2012-01-06,CHL,set_longlines,187.7329
2012-01-06,ESP,drifting_longlines,228.6788
2012-01-06,FRA,drifting_longlines,134.8755
2012-01-06,FRA,set_longlines,146.537
2012-01-06,GBR,set_longlines,23.0661
2012-01-06,JPN,drifting_longlines,1033.803
2012-01-06,KHM,drifting_longlines,23.7862
2012-01-06,KIR,drifting_longlines,23.7807
2012-01-06,KOR,drifting_longlines,1880.1025
2012-01-06,KOR,set_longlines,92.7016
2012-01-06,NCL,drifting_longlines,15.1157
2012-01-06,PRT,drifting_longlines,21.4379
2012-01-06,RUS,set_longlines,23.755
2012-01-06,SYC,drifting_longlines,23.688
2012-01-06,TWN,drifting_longlines,71.457
2012-01-06,UKR,set_longlines,21.9858
2012-01-06,VUT,drifting_longlines,23.7585
2012-01-07,ARG,set_longlines,47.8988
2012-01-07,CHL,set_longlines,189.3882
2012-01-07,ESP,drifting_longlines,227.9498
2012-01-07,FRA,drifting_longlines,162.7263
2012-01-07,FRA,set_longlines,146.5133
2012-01-07,GBR,set_longlines,23.0941
2012-01-07,IND,drifting_longlines,18.3339
2012-01-07,JPN,drifting_longlines,972.7638
2012-01-07,KHM,drifting_longlines,23.75
2012-01-07,KIR,drifting_longlines,23.7479
2012-01-07,KOR,drifting_longlines,1863.8639
2012-01-07,KOR,set_longlines,98.7457
2012-01-07,NCL,drifting_longlines,25.4945
2012-01-07,PRT,drifting_longlines,26.3776
2012-01-07,RUS,set_longlines,25.6363
2012-01-07,SYC,drifting_longlines,23.8822
2012-01-07,TWN,drifting_longlines,71.333
2012-01-07,UKR,set_longlines,37.2583
2012-01-07,VUT,drifting_longlines,23.759
2012-01-08,ARG,set_longlines,48.1963
2012-01-08,CHL,set_longlines,187.9988
2012-01-08,ESP,drifting_longlines,195.1439
2012-01-08,FRA,drifting_longlines,166.1536
2012-01-08,FRA,set_longlines,139.8288
2012-01-08,GBR,set_longlines,23.0775
2012-01-08,IND,drifting_longlines,23.7997
2012-01-08,JPN,drifting_longlines,947.319
2012-01-08,KHM,drifting_longlines,23.8262
2012-01-08,KIR,drifting_longlines,25.5666
2012-01-08,KOR,drifting_longlines,1883.1972
2012-01-08,KOR,set_longlines,93.5709
2012-01-08,NCL,drifting_longlines,23.881
2012-01-08,PRT,drifting_longlines,43.605
2012-01-08,RUS,set_longlines,23.7771
2012-01-08,SYC,drifting_longlines,3.6889
2012-01-08,TWN,drifting_longlines,34.8459
2012-01-08,UKR,set_longlines,23.0055
2012-01-08,VUT,drifting_longlines,23.7988
2012-01-09,ARG,set_longlines,45.5179
2012-01-09,CHL,set_longlines,211.6191
2012-01-09,ESP,drifting_longlines,189.1504
2012-01-09,FRA,drifting_longlines,187.184
2012-01-09,FRA,set_longlines,144.9295
2012-01-09,GBR,set_longlines,24.6392
2012-01-09,IND,drifting_longlines,24.4514
2012-01-09,JPN,drifting_longlines,930.4862
2012-01-09,KHM,drifting_longlines,23.7277
2012-01-09,KIR,drifting_longlines,23.8119
2012-01-09,KOR,drifting_longlines,1842.7393
2012-01-09,KOR,set_longlines,92.5434
2012-01-09,NCL,drifting_longlines,23.8438
2012-01-09,PRT,drifting_longlines,48.2213
2012-01-09,RUS,set_longlines,21.9083
2012-01-09,TWN,drifting_longlines,23.6493
2012-01-09,UKR,set_longlines,11.0225
2012-01-09,VUT,drifting_longlines,23.8178
2012-01-10,ARG,set_longlines,64.3058
2012-01-10,CHL,set_longlines,215.8752
2012-01-10,ESP,drifting_longlines,196.9099
2012-01-10,FRA,drifting_longlines,193.1824
2012-01-10,FRA,set_longlines,133.8729
2012-01-10,GBR,set_longlines,24.5885
2012-01-10,IND,drifting_longlines,2.9891
2012-01-10,JPN,drifting_longlines,961.2228
2012-01-10,KHM,drifting_longlines,23.7875
2012-01-10,KIR,drifting_longlines,23.748
2012-01-10,KOR,drifting_longlines,1778.3021
2012-01-10,KOR,set_longlines,112.3536
2012-01-10,NCL,drifting_longlines,22.066
2012-01-10,PRT,drifting_longlines,63.0567
2012-01-10,RUS,set_longlines,23.8833
2012-01-10,TWN,drifting_longlines,23.7977
2012-01-10,UKR,set_longlines,38.2913
2012-01-10,VUT,drifting_longlines,25.5878
2012-01-11,ARG,set_longlines,29.47
2012-01-11,CHL,set_longlines,216.642
2012-01-11,ESP,drifting_longlines,216.1521
2012-01-11,ESP,set_longlines,0.1252
2012-01-11,FRA,drifting_longlines,185.295
2012-01-11,FRA,set_longlines,144.4791
2012-01-11,GBR,set_longlines,23.2216
2012-01-11,IND,drifting_longlines,42.0709
2012-01-11,JPN,drifting_longlines,891.8836
2012-01-11,KHM,drifting_longlines,23.7971
2012-01-11,KIR,drifting_longlines,20.2348
2012-01-11,KOR,drifting_longlines,1590.5712
2012-01-11,KOR,set_longlines,82.1159
2012-01-11,NCL,drifting_longlines,21.9438
2012-01-11,NZL,drifting_longlines,0.1138
2012-01-11,PRT,drifting_longlines,8.0927
2012-01-11,REU,drifting_longlines,19.2348
2012-01-11,RUS,set_longlines,31.5026
2012-01-11,TWN,drifting_longlines,24.6273
2012-01-11,UKR,set_longlines,23.0416
2012-01-11,VUT,drifting_longlines,20.1525
2012-01-12,ARG,set_longlines,81.0823
2012-01-12,CHL,set_longlines,239.3153
2012-01-12,ESP,drifting_longlines,254.8103
2012-01-12,ESP,set_longlines,1.583
2012-01-12,FRA,drifting_longlines,195.3372
2012-01-12,FRA,set_longlines,118.4281
2012-01-12,GBR,set_longlines,42.9273
2012-01-12,IND,drifting_longlines,25.6876
2012-01-12,JPN,drifting_longlines,969.991
2012-01-12,KHM,drifting_longlines,22.0191
2012-01-12,KIR,drifting_longlines,27.368
2012-01-12,KOR,drifting_longlines,1891.5439
2012-01-12,KOR,set_longlines,113.1814
2012-01-12,NCL,drifting_longlines,44.1973
2012-01-12,NZL,drifting_longlines,1.5502
2012-01-12,PRT,drifting_longlines,62.0244
2012-01-12,REU,drifting_longlines,22.9274
2012-01-12,RUS,set_longlines,17.7422
2012-01-12,TWN,drifting_longlines,23.0342
2012-01-12,UKR,set_longlines,24.6779
2012-01-12,VUT,drifting_longlines,25.5828
2012-01-13,ARG,set_longlines,38.3114
2012-01-13,CHL,set_longlines,316.2042
2012-01-13,ESP,drifting_longlines,218.9959
2012-01-13,ESP,set_longlines,7.9602
2012-01-13,FRA,drifting_longlines,207.7433
2012-01-13,FRA,set_longlines,126.2767
2012-01-13,GBR,set_longlines,31.0015
2012-01-13,IND,drifting_longlines,23.7773
2012-01-13,JPN,drifting_longlines,965.6873
2012-01-13,KHM,drifting_longlines,25.7111
2012-01-13,KIR,drifting_longlines,23.7925
2012-01-13,KOR,drifting_longlines,1813.9527
2012-01-13,KOR,set_longlines,112.4227
2012-01-13,NCL,drifting_longlines,80.4315
2012-01-13,NOR,set_longlines,7.9375
2012-01-13,NZL,drifting_longlines,7.9132
2012-01-13,NZL,set_longlines,0.0941
2012-01-13,PRT,drifting_longlines,44.4549
2012-01-13,REU,drifting_longlines,25.5398
2012-01-13,RUS,set_longlines,39.0815
2012-01-13,SHN,set_longlines,6.3021
2012-01-13,TWN,drifting_longlines,25.4171
2012-01-13,UKR,set_longlines,23.0441
2012-01-13,VUT,drifting_longlines,25.6259
2012-01-14,ARG,set_longlines,57.1446
2012-01-14,CHL,set_longlines,198.8131
2012-01-14,ESP,drifting_longlines,238.7262
2012-01-14,ESP,set_longlines,20.5188
2012-01-14,FRA,drifting_longlines,220.1374
2012-01-14,FRA,set_longlines,140.2946
2012-01-14,GBR,set_longlines,45.1594
2012-01-14,IND,drifting_longlines,23.9444
2012-01-14,JPN,drifting_longlines,959.7899
2012-01-14,KHM,drifting_longlines,23.6484
2012-01-14,KIR,drifting_longlines,23.7614
2012-01-14,KOR,drifting_longlines,1674.2515
2012-01-14,KOR,set_longlines,96.6238
2012-01-14,NCL,drifting_longlines,62.1484
2012-01-14,NOR,set_longlines,20.5191
2012-01-14,NZL,drifting_longlines,20.5081
2012-01-14,NZL,set_longlines,1.5588
2012-01-14,PRT,drifting_longlines,31.4088
2012-01-14,REU,drifting_longlines,23.8501
2012-01-14,RUS,set_longlines,35.1832
2012-01-14,SHN,set_longlines,22.082
2012-01-14,TWN,drifting_longlines,23.9289
2012-01-14,UKR,set_longlines,24.7111
2012-01-14,VUT,drifting_longlines,23.7841
2012-01-15,ARG,set_longlines,46.0512
2012-01-15,CHL,set_longlines,171.1059
2012-01-15,ESP,drifting_longlines,240.3221
2012-01-15,ESP,set_longlines,28.3321
2012-01-15,FRA,drifting_longlines,214.4439
2012-01-15,FRA,set_longlines,143.6257
2012-01-15,GBR,set_longlines,51.4272
2012-01-15,IND,drifting_longlines,25.3976
2012-01-15,JPN,drifting_longlines,973.062
2012-01-15,KHM,drifting_longlines,28.5807
2012-01-15,KIR,drifting_longlines,24.8171
2012-01-15,KOR,drifting_longlines,1696.1499
2012-01-15,KOR,set_longlines,143.2109
2012-01-15,NCL,drifting_longlines,53.906
2012-01-15,NOR,set_longlines,28.3467
2012-01-15,NZL,drifting_longlines,28.357
2012-01-15,PRT,drifting_longlines,23.102
2012-01-15,REU,drifting_longlines,23.7704
2012-01-15,RUS,set_longlines,28.3337
2012-01-15,SHN,set_longlines,25.2395
2012-01-15,TWN,drifting_longlines,23.8019
2012-01-15,UKR,set_longlines,23.7116
2012-01-15,VUT,drifting_longlines,23.7443
2012-01-16,ARG,set_longlines,49.4113
2012-01-16,CHL,set_longlines,328.4422
2012-01-16,ESP,drifting_longlines,220.4295
2012-01-16,ESP,set_longlines,4.7607
2012-01-16,FRA,drifting_longlines,205.9763
2012-01-16,FRA,set_longlines,137.8509
2012-01-16,GBR,set_longlines,26.1322
2012-01-16,IND,drifting_longlines,23.7398
2012-01-16,JPN,drifting_longlines,907.0756
2012-01-16,KHM,drifting_longlines,17.1915
2012-01-16,KIR,drifting_longlines,22.7672
2012-01-16,KOR,drifting_longlines,1512.5461
2012-01-16,KOR,set_longlines,88.8337
2012-01-16,NCL,drifting_longlines,41.233
2012-01-16,NOR,set_longlines,1.5663
2012-01-16,PRT,drifting_longlines,32.4967
2012-01-16,REU,drifting_longlines,23.8037
2012-01-16,RUS,set_longlines,1.5689
2012-01-16,SHN,set_longlines,8.0685
2012-01-16,TWN,drifting_longlines,23.9294
2012-01-16,UKR,set_longlines,23.7772
2012-01-16,VUT,drifting_longlines,23.8254
2012-01-17,ARG,set_longlines,49.3157
2012-01-17,CHL,set_longlines,193.7401
2012-01-17,ESP,drifting_longlines,213.2448
2012-01-17,ESP,set_longlines,17.1968
2012-01-17,FRA,drifting_longlines,222.2484
2012-01-17,FRA,set_longlines,146.0134
2012-01-17,GBR,set_longlines,40.297
2012-01-17,IND,drifting_longlines,18.427
2012-01-17,JPN,drifting_longlines,954.907
2012-01-17,KHM,drifting_longlines,30.5554
2012-01-17,KIR,drifting_longlines,25.5917
2012-01-17,KOR,drifting_longlines,1744.8316
2012-01-17,KOR,set_longlines,119.2712
2012-01-17,NCL,drifting_longlines,70.8276
2012-01-17,NOR,set_longlines,15.5884
2012-01-17,NZL,drifting_longlines,17.1443
2012-01-17,NZL,set_longlines,15.743
2012-01-17,PRT,drifting_longlines,57.3663
2012-01-17,REU,drifting_longlines,23.8496
2012-01-17,RUS,set_longlines,15.7462
2012-01-17,TWN,drifting_longlines,23.6238
2012-01-17,UKR,set_longlines,24.8772
2012-01-17,VUT,drifting_longlines,23.7906
2012-01-18,ARG,set_longlines,46.0398
2012-01-18,CHL,set_longlines,209.1396
2012-01-18,ESP,drifting_longlines,213.468
2012-01-18,ESP,set_longlines,23.605
2012-01-18,FRA,drifting_longlines,255.977
2012-01-18,FRA,set_longlines,142.8334
2012-01-18,GBR,set_longlines,46.8643
2012-01-18,JPN,drifting_longlines,938.6966
2012-01-18,KHM,drifting_longlines,24.3389
2012-01-18,KIR,drifting_longlines,21.9192
2012-01-18,KOR,drifting_longlines,1601.5938
2012-01-18,KOR,set_longlines,116.673
2012-01-18,NCL,drifting_longlines,66.2599
2012-01-18,NOR,set_longlines,23.8102
2012-01-18,NZL,drifting_longlines,23.6354
2012-01-18,NZL,set_longlines,23.472
2012-01-18,PRT,drifting_longlines,46.728
2012-01-18,REU,drifting_longlines,23.6449
2012-01-18,RUS,set_longlines,23.643
2012-01-18,TWN,drifting_longlines,23.8245
2012-01-18,UKR,set_longlines,21.4525
2012-01-18,VUT,drifting_longlines,25.6438
2012-01-19,ARG,set_longlines,49.3315
2012-01-19,CHL,set_longlines,234.0821
2012-01-19,ESP,drifting_longlines,220.5427
2012-01-19,ESP,set_longlines,25.3211
2012-01-19,FRA,drifting_longlines,201.3549
2012-01-19,FRA,set_longlines,141.2768
2012-01-19,GBR,set_longlines,49.7951
2012-01-19,JPN,drifting_longlines,926.1065
2012-01-19,KHM,drifting_longlines,23.8576
2012-01-19,KOR,drifting_longlines,1578.2395
2012-01-19,KOR,set_longlines,118.9127
2012-01-19,NCL,drifting_longlines,49.0588
2012-01-19,NOR,set_longlines,25.1572
2012-01-19,NZL,drifting_longlines,25.2576
2012-01-19,NZL,set_longlines,12.9299
2012-01-19,PRT,drifting_longlines,48.3459
2012-01-19,REU,drifting_longlines,23.9055
2012-01-19,RUS,set_longlines,25.1537
2012-01-19,SHN,set_longlines,0
2012-01-19,TWN,drifting_longlines,23.6208
2012-01-19,UKR,set_longlines,26.2578
2012-01-19,VUT,drifting_longlines,23.7674
2012-01-20,ARG,set_longlines,46.0079
2012-01-20,CHL,set_longlines,201.3674
2012-01-20,ESP,drifting_longlines,232.1866
2012-01-20,ESP,set_longlines,22.0524
2012-01-20,FRA,drifting_longlines,168.4636
2012-01-20,FRA,set_longlines,148.4486
2012-01-20,GBR,set_longlines,43.6598
2012-01-20,JPN,drifting_longlines,936.0458
2012-01-20,KHM,drifting_longlines,24.1773
2012-01-20,KOR,drifting_longlines,1543.9162
2012-01-20,KOR,set_longlines,121.049
2012-01-20,NCL,drifting_longlines,35.8264
2012-01-20,NOR,set_longlines,23.6327
2012-01-20,NZL,drifting_longlines,22.1187
2012-01-20,PRT,drifting_longlines,53.7552
2012-01-20,REU,drifting_longlines,24.1827
2012-01-20,RUS,set_longlines,23.6378
2012-01-20,SHN,set_longlines,22.1971
2012-01-20,TWN,drifting_longlines,23.9546
2012-01-20,UKR,set_longlines,23.0875
2012-01-20,VUT,drifting_longlines,24.2008
2012-01-21,ARG,set_longlines,49.433
2012-01-21,CHL,set_longlines,224.5204
2012-01-21,ESP,drifting_longlines,238.6942
2012-01-21,ESP,set_longlines,12.9986
2012-01-21,FRA,drifting_longlines,152.7441
2012-01-21,FRA,set_longlines,111.813
2012-01-21,GBR,set_longlines,38.8787
2012-01-21,JPN,drifting_longlines,917.0899
2012-01-21,KHM,drifting_longlines,23.3962
2012-01-21,KOR,drifting_longlines,1464.3928
2012-01-21,KOR,set_longlines,99.2823
2012-01-21,NCL,drifting_longlines,47.5295
2012-01-21,NOR,set_longlines,11.2552
2012-01-21,NZL,drifting_longlines,12.8369
2012-01-21,NZL,set_longlines,3.2943
2012-01-21,PRT,drifting_longlines,51.2194
2012-01-21,REU,drifting_longlines,23.4008
2012-01-21,RUS,set_longlines,11.2583
2012-01-21,TWN,drifting_longlines,23.7394
2012-01-21,UKR,set_longlines,24.6938
2012-01-21,VUT,drifting_longlines,23.4114
2012-01-22,ARG,set_longlines,49.3425
2012-01-22,CHL,set_longlines,220.8653
2012-01-22,ESP,drifting_longlines,244.5152
2012-01-22,ESP,set_longlines,35.9249
2012-01-22,FRA,drifting_longlines,215.0275
2012-01-22,FRA,set_longlines,127.4522
2012-01-22,GBR,set_longlines,60.7047
2012-01-22,IND,drifting_longlines,9.155
2012-01-22,JPN,drifting_longlines,908.2989
2012-01-22,KHM,drifting_longlines,24.2957
2012-01-22,KOR,drifting_longlines,1465.8731
2012-01-22,KOR,set_longlines,141.9253
2012-01-22,NCL,drifting_longlines,58.5585
2012-01-22,NOR,set_longlines,36.0264
2012-01-22,NZL,drifting_longlines,36.0257
2012-01-22,NZL,set_longlines,36.0941
2012-01-22,PRT,drifting_longlines,46.9274
2012-01-22,REU,drifting_longlines,25.6034
2012-01-22,RUS,set_longlines,36.0962
2012-01-22,SHN,set_longlines,0
2012-01-22,TWN,drifting_longlines,25.4967
2012-01-22,UKR,set_longlines,24.6547
2012-01-22,VUT,drifting_longlines,24.297
2012-01-23,ARG,set_longlines,71.4662
2012-01-23,CHL,set_longlines,187.6098
2012-01-23,ESP,drifting_longlines,270.1848
2012-01-23,ESP,set_longlines,25.0352
2012-01-23,FRA,drifting_longlines,191.8593
2012-01-23,FRA,set_longlines,119.6772
2012-01-23,GBR,set_longlines,37.514
2012-01-23,IND,drifting_longlines,23.866
2012-01-23,JPN,drifting_longlines,903.5063
2012-01-23,KHM,drifting_longlines,23.3002
2012-01-23,KOR,drifting_longlines,1344.9135
2012-01-23,KOR,set_longlines,118.2216
2012-01-23,NCL,drifting_longlines,41.7858
2012-01-23,NOR,set_longlines,23.6379
2012-01-23,NZL,drifting_longlines,21.98
2012-01-23,NZL,set_longlines,23.5682
2012-01-23,PRT,drifting_longlines,44.7531
2012-01-23,REU,drifting_longlines,20.1783
2012-01-23,RUS,set_longlines,23.6465
2012-01-23,SHN,set_longlines,12.9613
2012-01-23,TWN,drifting_longlines,22.0473
2012-01-23,UKR,set_longlines,23.0973
2012-01-23,VUT,drifting_longlines,23.2928
2012-01-24,ARG,set_longlines,72.7946
2012-01-24,CHL,set_longlines,195.6712
2012-01-24,ESP,drifting_longlines,264.7239
2012-01-24,ESP,set_longlines,23.829
2012-01-24,FRA,drifting_longlines,185.5772
2012-01-24,FRA,set_longlines,134.2694
2012-01-24,GBR,set_longlines,59.12
2012-01-24,IND,drifting_longlines,23.6959
2012-01-24,JPN,drifting_longlines,895.8711
2012-01-24,KHM,drifting_longlines,24.381
2012-01-24,KOR,drifting_longlines,1327.4472
2012-01-24,KOR,set_longlines,123.7291
2012-01-24,NCL,drifting_longlines,36.3531
2012-01-24,NOR,set_longlines,25.2489
2012-01-24,NZL,drifting_longlines,23.7698
2012-01-24,NZL,set_longlines,25.2173
2012-01-24,PRT,drifting_longlines,64.963
2012-01-24,REU,drifting_longlines,23.2056
2012-01-24,RUS,set_longlines,25.1403
2012-01-24,TWN,drifting_longlines,23.8329
2012-01-24,UKR,set_longlines,24.6067
2012-01-24,VUT,drifting_longlines,24.3447
2012-01-25,ARG,set_longlines,73.7305
2012-01-25,CHL,set_longlines,184.5664
2012-01-25,ESP,drifting_longlines,258.9884
2012-01-25,ESP,set_longlines,23.6434
2012-01-25,FRA,drifting_longlines,218.8878
2012-01-25,FRA,set_longlines,143.6159
2012-01-25,GBR,set_longlines,46.673
2012-01-25,IND,drifting_longlines,21.9914
2012-01-25,JPN,drifting_longlines,903.6816
2012-01-25,KHM,drifting_longlines,23.1731
2012-01-25,KOR,drifting_longlines,1107.7485
2012-01-25,KOR,set_longlines,122.4019
2012-01-25,NCL,drifting_longlines,47.397
2012-01-25,NOR,set_longlines,23.6156
2012-01-25,NZL,drifting_longlines,23.6009
2012-01-25,NZL,set_longlines,23.6419
2012-01-25,PRT,drifting_longlines,67.5696
2012-01-25,REU,drifting_longlines,26.1556
2012-01-25,RUS,set_longlines,23.6385
2012-01-25,TWN,drifting_longlines,23.7547
2012-01-25,UKR,set_longlines,23.0619
2012-01-25,VUT,drifting_longlines,15.7587
2012-01-26,ARG,set_longlines,77.1692
2012-01-26,CHL,set_longlines,197.1344
2012-01-26,ESP,drifting_longlines,275.8211
2012-01-26,ESP,set_longlines,23.582
2012-01-26,FRA,drifting_longlines,224.1366
2012-01-26,FRA,set_longlines,144.9544
2012-01-26,GBR,set_longlines,48.3507
2012-01-26,IND,drifting_longlines,23.8585
2012-01-26,JPN,drifting_longlines,940.1869
2012-01-26,KHM,drifting_longlines,25.4335
2012-01-26,KOR,drifting_longlines,985.1937
2012-01-26,KOR,set_longlines,121.843
2012-01-26,NCL,drifting_longlines,55.7756
2012-01-26,NOR,set_longlines,23.6413
2012-01-26,NZL,drifting_longlines,23.6555
2012-01-26,NZL,set_longlines,23.6323
2012-01-26,PRT,drifting_longlines,75.4956
2012-01-26,REU,drifting_longlines,23.627
2012-01-26,RUS,set_longlines,23.6384
2012-01-26,SHN,set_longlines,1.5305
2012-01-26,TWN,drifting_longlines,25.6049
2012-01-26,UKR,set_longlines,24.6345
2012-01-27,ARG,set_longlines,64.6248
2012-01-27,CHL,set_longlines,209.3568
2012-01-27,ESP,drifting_longlines,270.592
2012-01-27,ESP,set_longlines,23.6707
2012-01-27,FRA,drifting_longlines,230.356
2012-01-27,FRA,set_longlines,143.378
2012-01-27,GBR,set_longlines,48.279
2012-01-27,IND,drifting_longlines,21.8797
2012-01-27,JPN,drifting_longlines,916.1048
2012-01-27,KHM,drifting_longlines,23.9805
2012-01-27,KOR,drifting_longlines,864.1577
2012-01-27,KOR,set_longlines,119.1325
2012-01-27,NCL,drifting_longlines,50.5253
2012-01-27,NOR,set_longlines,23.6351
2012-01-27,NZL,drifting_longlines,25.1645
2012-01-27,NZL,set_longlines,23.7219
2012-01-27,PRT,drifting_longlines,66.5975
2012-01-27,REU,drifting_longlines,23.849
2012-01-27,RUS,set_longlines,23.7207
2012-01-27,TWN,drifting_longlines,21.857
2012-01-27,UKR,set_longlines,24.5771
2012-01-28,ARG,set_longlines,71.3816
2012-01-28,CHL,set_longlines,209.7172
2012-01-28,ESP,drifting_longlines,276.7336
2012-01-28,ESP,set_longlines,25.2037
2012-01-28,FRA,drifting_longlines,259.8076
2012-01-28,FRA,set_longlines,145.0033
2012-01-28,GBR,set_longlines,48.2034
2012-01-28,IND,drifting_longlines,25.6024
2012-01-28,JPN,drifting_longlines,897.9733
2012-01-28,KHM,drifting_longlines,23.7701
2012-01-28,KOR,drifting_longlines,842.6062
2012-01-28,KOR,set_longlines,120.8234
2012-01-28,NCL,drifting_longlines,49.1406
2012-01-28,NOR,set_longlines,25.2428
2012-01-28,NZL,drifting_longlines,23.7036
2012-01-28,NZL,set_longlines,23.6474
2012-01-28,PRT,drifting_longlines,69.1863
2012-01-28,REU,drifting_longlines,23.7772
2012-01-28,RUS,set_longlines,25.2349
2012-01-28,SHN,set_longlines,4.5963
2012-01-28,TWN,drifting_longlines,25.6103
2012-01-28,UKR,set_longlines,23.0978
2012-01-29,ARG,set_longlines,81.1224
2012-01-29,CHL,set_longlines,212.9876
2012-01-29,ESP,drifting_longlines,288.1632
2012-01-29,ESP,set_longlines,23.6655
2012-01-29,FRA,drifting_longlines,271.467
2012-01-29,FRA,set_longlines,143.564
2012-01-29,GBR,set_longlines,48.3265
2012-01-29,IND,drifting_longlines,4.867
2012-01-29,JPN,drifting_longlines,913.4504
2012-01-29,KHM,drifting_longlines,23.7908
2012-01-29,KOR,drifting_longlines,835.3067
2012-01-29,KOR,set_longlines,122.2249
2012-01-29,NCL,drifting_longlines,47.2532
2012-01-29,NOR,set_longlines,23.6432
2012-01-29,NZL,drifting_longlines,23.5352
2012-01-29,NZL,set_longlines,25.1471
2012-01-29,PRT,drifting_longlines,74.0196
2012-01-29,REU,drifting_longlines,22.4237
2012-01-29,RUS,set_longlines,23.5612
2012-01-29,SHN,set_longlines,37.7973
2012-01-29,TWN,drifting_longlines,21.9707
2012-01-29,UKR,set_longlines,23.0861
2012-01-30,ARG,set_longlines,63.1699
2012-01-30,CHL,set_longlines,207.1427
2012-01-30,ESP,drifting_longlines,263.5549
2012-01-30,ESP,set_longlines,23.6987
2012-01-30,FRA,drifting_longlines,283.3809
2012-01-30,FRA,set_longlines,144.8806
2012-01-30,GBR,set_longlines,46.7529
